# GENERATED by generate-quadlets.py from quadlets/fleet secret consumers — DO NOT EDIT
# service	username	secret
alertmanager	_nas_alertmanager	pushover-user-key
alertmanager	_nas_alertmanager	pushover-api-token
caddy	_nas_caddy	cf-api-token
garage	_nas_garage	garage-rpc-secret
garage	_nas_garage	garage-admin-token
garage	_nas_garage	garage-metrics-token
immich-database	_nas_immichdatabase	immich-db-password
immich-server	_nas_immichserver	immich-db-password
jellyfin-exporter	_nas_jellyfinmetrics	jellyfin-api-key
victoria-metrics	_nas_victoriametrics	garage-metrics-token
mullvad	root	mullvad-private-key
immich-backup	root	immich-backup-restic-password
immich-backup	root	immich-backup-b2-key-id
immich-backup	root	immich-backup-b2-application-key
immich-backup	root	immich-backup-b2-bucket
immich-backup	root	immich-backup-b2-s3-endpoint
